hhid,sexe_chef_bin,age_chef,educ_hi_chef,annees_scol_chef,niveau_instruction_chef,diplome_chef,activite_chef,branch_chef,csp_chef,departement,departement_nom,milieu,milieu_urbain,hhweight,dep_totale_annuelle,dep_educ,educ_hi_mere,niveau_instruction_mere,taille_menage,choc_economique,choc_naturel,choc_quelconque,tv,frigo,cuisin,ordin,decod,car,score_actifs,acces_electricite,logem,toilet,eauboi_ss,dep_percapita,log_dep_totale,log_dep_percapita,chef_instruit,chef_superieur,ethnie_chef_code,religion_chef_code,mstat_chef_code,agemar_chef,nation_chef_code,internet_chef,telpor_chef,bank_chef,handit_chef,handig_chef,moustiq_chef,couvmal_chef,alfa_chef,annee_naissance_chef,religion_chef_lbl,mstat_chef_lbl,mur_ameliore,toit_ameliore,sol_ameliore,eauboi_sp_ameliore,elec_urbain,elec_autre,ordure_amelioree,eval_toilettes,eval_eau,actif_fer,superficie_terre_ha,nb_gros_ruminants,nb_petits_ruminants,nb_porcins,nb_lapins,nb_volailles,choc_idiosyncr_demo,choc_collectif_naturel,choc_collectif_eco,choc_idiosyncr_eco,choc_collectif_violence,choc_collectif_autre
1005,1,48,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,1,1,215.949343772608,2868551.33325195,47000.0,1.0,1_Aucun,10,0,1,1,0,0,0,0,0,0,0,1,2,0,0,286855.133325195,14.8693176983675,12.5667326053735,0,0,18.0,1,2,18.0,1,0,1,0,0,0,1,0,0,16,1_Catholique,2_Marie monogame,0,1,1,0,0,1,0,0,0,0,5.99999997019768,2,14,0,0,6,1,1,0,0,0,0
1019,0,45,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,1,1,215.949343772608,737655.058105469,10000.0,1.0,1_Aucun,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0,368827.529052734,13.5112315933756,12.8180844128157,0,0,18.0,1,6,23.0,1,1,1,0,0,0,1,0,0,16,1_Catholique,6_Divorce/Separe,1,1,1,0,0,1,0,1,0,0,,0,0,0,0,5,0,0,0,0,0,0
1031,1,52,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,1,1,688.904494320816,3108889.93579102,57000.0,1.0,1_Aucun,7,0,0,0,0,0,0,0,0,0,0,1,2,0,0,444127.133684431,14.9497762866101,13.0038661375548,0,0,18.0,1,2,22.0,1,0,0,0,0,0,1,0,0,17,1_Catholique,2_Marie monogame,1,1,1,0,0,1,0,0,0,0,3.99293610453606,0,5,0,0,15,0,0,0,0,0,0
1032,1,36,9,17,5_Superieur,7,Emploi,11.0,2.0,1,Alibori,1,1,215.949343772608,2233013.13473947,244000.0,3.0,2_Primaire,7,1,0,1,1,0,0,0,1,0,2,1,1,0,0,319001.876391353,14.6188624129096,12.6729522638542,1,1,18.0,1,2,21.0,1,1,1,1,0,0,1,0,1,16,1_Catholique,2_Marie monogame,1,1,1,0,0,1,0,0,0,1,2.04999995231628,0,0,0,0,8,1,0,1,0,0,0
1046,1,40,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,1,1,215.949343772608,1712389.83518764,0.0,1.0,1_Aucun,5,1,0,1,0,0,0,0,0,0,0,1,2,0,0,342477.967037528,14.3534005172318,12.7439626047977,0,0,18.0,1,2,16.0,1,0,1,0,0,0,1,0,1,16,1_Catholique,2_Marie monogame,1,1,1,0,0,1,1,0,0,0,1.57351672649384,0,10,0,0,5,1,0,1,0,0,0
1053,1,62,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,1,1,215.949343772608,3978345.5569894,66500.0,1.0,1_Aucun,13,0,0,1,1,0,0,0,0,0,1,1,2,0,1,306026.581306877,15.1963766016393,12.6314272441777,0,0,18.0,1,2,18.0,1,0,1,1,0,0,1,0,0,16,1_Catholique,2_Marie monogame,1,1,1,1,0,1,1,0,0,0,5.99101996421814,3,0,0,0,0,1,0,0,1,0,0
1060,1,25,7,13,4_Secondaire2,2,Retraite,,,1,Alibori,1,1,215.949343772608,1134303.18448312,295500.0,,,2,1,0,1,0,0,0,0,0,0,0,1,3,0,0,567151.59224156,13.9415290859867,13.2483819054267,1,0,18.0,1,1,,1,1,1,1,0,0,1,0,1,17,1_Catholique,1_Celibataire,0,1,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0
1073,1,24,7,13,4_Secondaire2,2,Emploi,5.0,4.0,1,Alibori,1,1,215.949343772608,1167338.23083496,285000.0,,,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,583669.115417481,13.9702366986122,13.2770895180522,1,0,18.0,2,1,,1,1,1,1,0,0,1,0,1,16,2_Musulman,1_Celibataire,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1080,1,50,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,1,1,215.949343772608,1181763.01318359,0.0,1.0,1_Aucun,3,1,1,1,0,0,0,0,0,0,0,1,2,0,0,393921.004394531,13.9825179603855,12.8839056717174,0,0,18.0,1,2,18.0,1,0,1,1,1,1,1,0,0,17,1_Catholique,2_Marie monogame,1,1,1,0,0,1,1,0,0,0,1.6348375082016,2,5,0,0,0,0,1,1,0,0,0
1087,0,61,1,0,1_Aucun,0,Emploi,1.0,9.0,1,Alibori,1,1,215.949343772608,639404.027099609,19750.0,1.0,1_Aucun,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,319702.013549805,13.3682918138358,12.6751446332759,0,0,18.0,1,1,,1,0,1,0,0,0,0,0,0,16,1_Catholique,1_Celibataire,1,1,0,0,0,0,1,0,0,0,1.55100333690643,0,0,0,0,0,1,0,0,0,0,0
